wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
20%,Port/Sherry,Portugal,"Kopke has a treasure house of old Colheita tawnys, and this rich, wood-spiced wine is a classic example. The vanilla and caramel from long wood aging are balanced superbly with acidity and dried fruits. It is nowhere near too concentrated, but it is certainly rich, its flavors long-lasting and intense. ",Kopke 1957 Colheita  (Port),92,199,Port,Port
20%,Port/Sherry,Spain,"Fans of fine Sherry are the target market for this excellent, ethereal oloroso. The nose is clean and mild, with citrus, nuts and flower blossom. There's nothing pushy or heavy about it; in fact, it's so refined and layered that you don't notice anything but the wine's lovely buttery notes, toffee and coffee. Very demure and pure. ",Lustau NV Emperatriz Eugenia Very Rare Oloroso Sherry (Jerez),93,45,Andalucia,Sherry
20%,Port/Sherry,Portugal,"Bottled in 2008, this extraordinary wine is still concentrated. It is also smooth, a velvet texture of richness bordering on opulence. The flavor of wood is there, but more important are the old-time fudge and toffee flavors, rounded with sweet sultanas and edged with acidity. ",Kopke 1937 Colheita  (Port),93,430,Port,Port
14%,Red,US,"This dark red wine shows the brawniness and tannic hardness of a young Petite Sirah. It's bone dry and relatively modest in alcohol, but it lacks the richness and depth of flavor to enable it to age. ",Prager 2004 Petite Sirah (Napa Valley),83,38,California,Petite Sirah
19%,Port/Sherry,US,"Simple and sweet, with flavors of sugared orange tea, golden apricot jam and toasted meringue. The sweetness level is high, but the concentration just isn't there. ",Prager 2004 Aria White Port (Napa Valley),83,49,California,White Port
18.5%,Port/Sherry,US,"Smells invitingly white-Porty, with apricot, candied tangerine and caramelized vanilla aromas, but turns naked in fruity flavor, with only the barest suggestion of citrus. That leaves hot alcohol to stand on its own. ",Prager 2005 Alyssa Golden Dry Port (Napa Valley),83,38,California,Port
13.7%,Red,US,"Gently soft in tannins and very fruity, this Syrah has blackberry jam and chocolate flavors that are so ripe, they veer into suggestions of sweet Port. Drink now. ",Eight Arms 2006 Stagecoach Vineyard Syrah (Napa Valley),84,35,California,Syrah
15.9%,Red,US,"Awfully high in alcohol, but it wears it well, with fat, glyceriney flavors of blackberry and cherry jam, chocolate, anise, red currants and sweet oak. Drink this Port-like wine after dinner, in front of a warming fire on a winter night. ",Midlife Crisis 2006 Barbera (Paso Robles),86,21,California,Barbera
18.2%,Port/Sherry,US,"Super-sweet, with an enormous blast of sugary blackberries, currants and espresso chocolate or Kahlua. Could use more flavor intensity for the sweetness level. ",Hunt Cellars 2001 Good Vibrations Tawny Cabernet Port Cabernet Sauvignon (Paso Robles),86,60,California,Cabernet Sauvignon
18.2%,Port/Sherry,US,"Rich and fine in the mouth, with cherry and currant preserves, chocolate and tangerine zest flavors wrapped into sturdy tannins. Could use a greater fruity concentration and sweetness, though, as the heat from high alcohol shows through. ",Hunt Cellars 2002 Sweet Serenade Tawny Syrah Port Syrah (Paso Robles),86,60,California,Syrah
18%,Port/Sherry,Italy,"If you've forgotten the flavors of this once super-popular fortified wine from Sicily, it's time to repay a visit to Marsala. Florio's Dry version offers fragrant notes of caramel, candied fruit, maple syrup and citrus peel over a creamy texture. Marsala is often used as a cooking aid, butforget that: try it as an apéritif wine with cubes of Gorgonzola or Roquefort cheese. ",Florio NV Fine Dry  (Marsala),87,12,Sicily & Sardinia,Catarratto
16%,Dessert,US,"Honey-sweet and direct, with citrus jam, apricot essence, crème brûlée and vanilla cream flavors. Fine with white cookies, lemon chiffon pie, pineapple sorbet. ",Prager 2004 Madeline Riesling (Napa Valley),88,35,California,Riesling
18%,Port/Sherry,Italy,"Candied fruit and caramel ride on the back of maple syrup, allspice and ground ginger. Marsala is for much more than cooking and you can try this wine with aged cheese or as an after-dinner drink. ",Florio NV Fine Sweet  (Marsala),88,12,Sicily & Sardinia,Catarratto
19%,Port/Sherry,US,"Enormously sweet, with sugared blackberry, currant and dark chocolate flavors that are frankly delicious. Nice as a nighttime winter apéritif, with some chocolaty confection and a roaring fire. ",Prager 2005 Imogene's Vineyard Tomas Port (Napa Valley),88,52,California,Port
13%,Dessert,US,"This is a rich, very sweet dessert wine that tastes like some botrytis hit the grapes. It has intense flavors of apricot jam, pineapple-infused crème brûlée and butter-vanilla cookie flavors that are decadently delicious. ",Prager 2006 Sweet Claire Late Harvest Riesling (California),91,35,California,Riesling
20%,Port/Sherry,US,"For drinking now, this red dessert wine satisfies for its soft, luxuriant texture, sweetness and depth of flavor. Offers blackberry jam, cherry marmalade, melted milk chocolate and smoky vanilla flavors accented with cinnamon, anise and pepper. ",Williams Selyem 2003 Mistral Vineyard Port (Central Coast),91,40,California,Port
20%,Port/Sherry,Portugal,"While 2005 is not a major vintage, it has produced some delicious wines that will mature relatively quickly. That's the case here, with this fresh, raisined wine. Layered with some tannins, it's ripe, on the sweet side and finely balanced. ",Poças 2005 Director's Choice Vintage  (Port),89,95,Port,Port
20%,Port/Sherry,Spain,"This traditional wine from Lustau is made in the Cream style. It's dark and pretty, with PX-ish prune and caramel aromas. It's not as thick as Pedro Ximénez, and thus isn't syrupy. But it's certainly rich and full of cookie, molasses, maple and brown sugar flavors. For anyone who likes a sweet Sherry that's balanced, this is a good place to go. ",Lustau NV East India Solera Sherry (Jerez),90,30,Andalucia,Sherry
19%,Port/Sherry,Spain,"Dark amber in color, with maple, walnut and other sweet-meets-nutty aromas. It's a bit tangy, but being as zesty as it is propels maple, white chocolate and apricot flavors. This one has depth and a very long finish, which makes it a regal but still approachable palo cortado. Overall it's similar to an amontillado, but with more pulsing, piercing acidity. ",Lustau NV Palo Cortado Península Sherry (Jerez),90,28,Andalucia,Sherry
18.5%,Port/Sherry,Spain,"Round and honeyed on the nose, with brown sugar, flower notes, nuts and pretty much all that good amontillado offers. Flavors of white pepper, coffee and caramel have light citrus accents, and on the finish it dials things down and gets real narrow and precise. Very dry amontillado, but well made and true to the blueprint. ",Lustau NV Rare Amontillado Escuadrilla Sherry (Jerez),90,28,Andalucia,Sherry
19.5%,Port/Sherry,Portugal,"This single-quinta tawny comes from Ramos-Pinto's vineyard in the Torto valley in the heart of Port country. It shows the warmth and richness from the super-rich fruit, balanced with wood aging and lively acidity, at the perfect moment to be enjoyed. The finish is fresh, the dry wood lifted by fruitiness. ",Ramos-Pinto NV Quinta do Bom Retiro Porto 20 Years Tawny  (Port),90,77,Port,Port
20%,Port/Sherry,Portugal,"For a 30-year old, this is impressively fresh. There are still plenty of sweet fruits to go with the wood aging and ripe dark brown sugar and prunes. The finish shows more of the wood aging, giving sweet vanilla and dryness. ",Burmester NV 30-Year-Old Tawny  (Port),90,185,Port,Port
20%,Port/Sherry,Portugal,"A crusted Port is a style that is bottled without filtration, meaning it throws a sediment (a crust) and can also age in the bottle. And seven years after bottling, its rich fruits are still evolving, like a vintage Port, offering sweetness, super-ripe plum flavors as well as a dry, woody edge. It is very drinkable now, but will age. ",W. & J. Graham's NV Crusted Port Bottled 2001  (Port),90,2001,Port,Port
19.5%,Port/Sherry,Spain,"Intense and nutty, with a searing dryness that serves it well. This style of fine Sherry is ultra-fresh but lean. The palate is dry and almost salty, with nutty subtleties and very distant flavors of apricots. Lithe and stylish throughout, with a fineness to the body that defies its age and 19.5% alcohol level. ",Bodegas Dios Baco S.L. NV Baco Imperial 30 Years Old VORS Oloroso Sherry (Jerez),91,100,Andalucia,Sherry
18%,Port/Sherry,Spain,"Lovely amontillado that opens with honeyed citrus and molasses aromas. The palate is round and balanced, with toasty notes accenting honeyed peanut and apricot flavors. Big and lively late, with a finish of toasted walnut, peach skin and more. Totally convincing for fans of dry Sherry. ",Bodegas Dios Baco S.L. NV Amontillado Sherry (Jerez),91,20,Andalucia,Sherry
20%,Port/Sherry,Spain,"Opens with a wonderful set of nutty, dry aromas along with pit fruits like nectarine, apricot and peach. The palate is a cacaphony of toasty, peppery flavors sweetened by caramel and brown sugar. It has a fine feel and balance, and then finishing notes of browned butter and sautéed mushroom. Delicious oloroso. ",Lustau NV Dry Oloroso Don Nuño Sherry (Jerez),91,28,Andalucia,Sherry
20%,Port/Sherry,Portugal,"An aged tawny that manages effortlessly to combine the freshness of a 10-year-old with the dry, cask-aged flavors of an older tawny. Its has dried apricot flavors and orange marmalade, but there is also dryness from wood aging and good concentration. ",Warre's NV Otima 10-Year-Old Tawny  (Port),91,27,Port,Port
20%,Port/Sherry,Portugal,"As is normal with Warre's LBV, this is bottled with a sediment, meaning it can age in the bottle. It is beautifully balanced, the ripe flavors sitting comfortably with the core of acidity and dark tannins. There are dried fruits, raisins and sultanas, as well as fresher sweet plums. ",Warre's 1999 Late Bottled Vintage  (Port),91,28,Port,Port
20%,Port/Sherry,Portugal,"Sandeman's aged tawnys have a definite dryness, the wood an important part of the wine. While they are dry, the weight of rich, dried fruit flavors gives a good balance. Acidity mingles with the fruit, enriching the burnt character, giving a wine that is intensely rich rather than sweet. ",Sandeman NV 30-Year-Old Tawny  (Port),91,100,Port,Port
20%,Port/Sherry,Portugal,"Old Colheitas are often only sipping wines, ones to admire. That's the case here, because there is a medicinal character that comes from extreme concentration. That said, it is a beautiful wine, all its elements there, the fruit still not quite gone, and the velvet texture sustained by the underlying spirit. ",Barros 1963 Colheita  (Port),91,215,Port,Port
20%,Port/Sherry,Portugal,"The aromas are all of long beneficial wood aging, the fruit character replaced by wood acidity, while keeping intense richness. The wine is fresh, its acidity tightened by concentration. A classic colheita, it has age, spice and a sinuous, smooth texture. ",Barros 1978 Colheita  (Port),91,85,Port,Port
20%,Port/Sherry,Portugal,"Wonderful old fruit aromas come from this 22-year-old wine. The concentration is impressive, with flavors of old wood acidity and dried wood tannins layering over fruit that still shows prunes, raisins and delicious sweet spice. ",Poças 1986 Colheita  (Port),91,75,Port,Port
19.5%,Port/Sherry,Spain,"Angular but super clean. The nose shows a little sharpness, but that's an indicator that what's to come is tight and lasting. In the mouth, this is a huge, defined wine. It tastes of almond, lemon peel, apricot and even browned butter. By the time the finish concludes, mushroom and more almond have entered the picture. Refined and in control from start to finish. ",Bodegas Dios Baco S.L. NV Baco Imperial 20 Years Old VOS Amontillado Sherry (Jerez),92,75,Andalucia,Sherry
19%,Port/Sherry,Portugal,"A ripe and fruity wine, full of fresh, sweet black plum jelly. That's the initial impression of a wine that is still young. However, there is a solid, dark core of tannin, a powerful and solid structure that promises good aging. It is possible to enjoy this delicious fruity wine now, but it's worth keeping. ",Quinta de la Rosa 2005 Vintage  (Port),92,56,Port,Port
20%,Port/Sherry,Portugal,"Sweet, toffee aromas lead to an equally sweet wine. It has richness, a very smooth, soft texture that coats the mouth with toffee, treacle and only a hint of blackberry fruits. Dried fruits come through in the aftertaste. ",Burmester NV Sotto Voce Reserve  (Port),84,119,Port,Port
20%,Port/Sherry,Portugal,"A soft, sweet style of LBV that goes for red fruits, soft tannins and ripeness. The spirit is rather aggressive here, maybe from recent bottling, and the fruit feels almost put to one side. ",Cálem 2003 Late Bottled Vintage  (Port),85,16,Port,Port
20%,Port/Sherry,Portugal,"A tawny style, with some dried raisin and wood-aged acidity. Essentially, though, the wine is soft and sweet in the Burmester style. Caramel flavors go with some acidity and spice, the spirit well blended into the wine. ",Burmester NV Jockey Club Reserva  (Port),85,23,Port,Port
20%,Port/Sherry,Portugal,"With its green edge, this is not a ripe vintage wine. Certainly, the fruit is dense and sweet, but there is always the feeling of astringency, black currant juiciness that does not suggest aging. ",Burmester 2005 Vintage  (Port),85,90,Port,Port
20%,Port/Sherry,Portugal,"A solid, rich wine, finely balanced. Its dried currant flavors are well integrated into the firm, dry structure. Around the core, sweet plum and berry fruits add acidity and freshness. The finish lingers, dry and dense. ",Barros 2003 Late Bottled Vintage  (Port),86,17,Port,Port
19.5%,Port/Sherry,Portugal,"Fruity, rich, layered with tannins and sweet raisins, this is an elegant style of reserve Port. Its structure is an important element, allowing the fruit to come through, giving some dryness and adding acidity to the concentrated mix. ",Ramos-Pinto NV Porto Reserva Collector  (Port),86,20,Port,Port
20%,Port/Sherry,Portugal,"A sweet, raisin-flavored vintage Port with a hugely dark color. Despite the attractive fruit, the wine lacks real intensity of structure. True, there are firm tannins but they are not anchored to the fruit, which misses concentration. ",Barros 2005 Vintage  (Port),86,70,Port,Port
20%,Port/Sherry,Portugal,"On the drier side of aged tawnys, this is a wine with wood, dried raisin and noticeable spirit. It has reviving acidity from the wood, just showing rich sweetness on the finish. ",Cálem NV 10-Year-Old Tawny  (Port),87,23,Port,Port
20%,Port/Sherry,Portugal,"Because of its relative youth (for a wood-aged Colheita), this is almost a Late Bottled style, with ruby color and a fruity, red berry character. It meshes together, the fruit still dominant and only a few hints of wood aging apparent. ",Cálem 1998 Colheita  (Port),87,22,Port,Port
20%,Port/Sherry,Portugal,"Sweet, surprisingly soft for its age, this shows light wood tannins, spice and dried fruits, followed by just an edge of the spirit. It is fresh, elegant, a pleasingly perfumed wine, but not exciting. ",Burmester 1963 Colheita  (Port),87,790,Port,Port
18%,Port/Sherry,Spain,"Smells and tastes semisweet, with vanilla and molasses on the nose. The palate runs sweet as well, with root beer, brown sugar and brownie flavors. It's enjoyable and made right, but with less acidity and cut than many Sherries. Finishes with a mocha blast and some grabby thickness. ",Bodegas Dios Baco S.L. NV Oloroso Sherry (Jerez),88,25,Andalucia,Sherry
20%,Port/Sherry,Portugal,"This has a fine bite, offering its richness on the edge of a knife. Wood and fruit tannins are very evident, giving the concentration a dry, fresh core, over which dried fruit flavors pass. It has some age to it, as if there are older wines in the blend. ",Sandeman NV 10-Year-Old Tawny  (Port),88,40,Port,Port
19.5%,Port/Sherry,Portugal,"Firm and dry, this LBV from a fine Port year is structured, showing dry tannins as well as ripe, dry fruits. That means the richness is restrained, giving elegance, perfumes of violets and finishing with some tight acidity. ",Ramos-Pinto 2003 Late Bottled Vintage  (Port),88,26,Port,Port
18.5%,Port/Sherry,Spain,"Lustau calls it dry but Los Arcos definitely has some aromatic and palate sweetness. The nose settles on brown sugar, peach, mixed nuts and honey. It's not super tight or acidic, and thus the palate drips maple and molasses. Medium-bodied and balanced, but with that shot of sugar offset by honest but mellow acids. ",Lustau NV Dry Amontillado Los Arcos Sherry (Jerez),89,17,Andalucia,Sherry
19.5%,Port/Sherry,Portugal,This has richness and intensity of flavor. The sweet dried plums and prunes are steeped in caramel and just an edge of burnt acidity from wood. The finish is delicious and smooth. ,Ramos-Pinto NV Quinta da Ervamoira 10-Year-Old Tawny  (Port),89,41,Port,Port
20%,Port/Sherry,Portugal,"An elegant Port, its fruit and firm tannins blending effortlessly with blackberry jelly and spice flavors. It is halfway between a sweet and dry style, the sweetness coming from prunes, the dryness from firm tannins. This could probably age a few years in the bottle. ",Poças 2001 Late Bottled Vintage  (Port),89,26,Port,Port
19%,Port/Sherry,Portugal,"The Madeira regulations say that 10-years old is the age of the youngest part of the blend. So this richly sweet Malmsey contains many older wines. These are shown in the old gold color, the proper citrus acidity and the dryness that goes with wood aging. At the end, though, the liquid honey flavors are dominant. ",Broadbent NV Malmsey 10 Years Old Madeira (Madeira),90,49,Madeira,Madeira Blend
20%,Port/Sherry,Portugal,"Sandeman's single quinta vintage is based around Quinta do Vau. Made in a deliberately fruity style, it is full of blackberry fruit jam flavors, with fleshy plums. The tannins are low-key, just showing through as a core of dryness. This is not a long-term aging vintage—best in 5–10 years. ",Sandeman 2000 Vau Vintage  (Port),90,33,Port,Port
N/A,Port/Sherry,Portugal,"Toffee, caramel and good maturity on this sophisticated wine. There is a spirit edge, but it works because the fruit is subservient to the maturity, ripeness and richness. The aftertaste is just perfumed. ",Wiese & Krohn NV Lagrima  (Port),90,16,Port,Port
20%,Port/Sherry,Portugal,"An elegant tawny, perfumed with soft tannins and a good edge of wood acidity and spirit. The wine is dry, densely flavored, tasting mature, showing a good balance between young sweetness and age, with everything well integrated. ",Sandeman NV 20 Years Old Tawny  (Port),91,44,Port,Port
N/A,Port/Sherry,Portugal,"Toffee and vanilla aromas give an intensely sweet, molasses and caramel flavored wine in an almost syrup-like consistency. It is very ripe, with some honey, balanced with a surprisingly fresh citrus character. ",Wiese & Krohn 1964 Branco Colheita  (Port),91,125,Port,Port
N/A,Port/Sherry,Portugal,"Beautifully balanced wine, showing slight age and maturity but also flavors of spice and orange marmalade. It has just the same balance between freshness and maturity as a 10-year old tawny, and gives as much pleasure. ",J. H. Andresen NV 10 Anos White  (Port),91,10,Port,Port
20%,Port/Sherry,Portugal,"An impressively mature 20-year old tawny, showing great layers of wood acidity, dark figs and well-integrated spirit. In the house style, it is not a big wine, more perfumed and delicate, and elegant. ",Poças NV 20 Years Old Tawny  (Port),91,58,Port,Port
N/A,Port/Sherry,Portugal,"Mature, definitely dry in character, with attractive wood acidity. Dark gold in color, it has just enough sweetness, but the style is certainly a sipping Port, not a mixer, giving an intriguing finishing austerity. ",Wiese & Krohn NV Dry White  (Port),91,16,Port,Port
N/A,Port/Sherry,Portugal,"As warmer weather approaches, this is a wine that should immediately come to mind at apéritif time. This bone-dry style, with its inimitable nutty character, is so fresh, so vibrant. It has some tannins, enlivening acidity giving a great lift at the end. Bring on the freshly salted, roasted almonds. ",Blandy's NV 10 Year Old Dry Sercial Sercial (Madeira),92,10,Madeira,Sercial
N/A,Port/Sherry,Portugal,"A supreme wine that tastes of intense maturity, touched with oxidation. It has gained in color as it ages, so now it is a deep green gold. To taste, it has much of the character of a tawny Port, with smoky old wood flavors. But the perfume, hinting at honey, is of a white Port. ",Quinta Santa Eufemia NV 30 Anos White  (Port),92,30,Port,Port
20%,Port/Sherry,Portugal,"Dark raisin and dried apricot flavors manifest on this immensely dark, old goldhued wine. Enormous concentration, as with the initially, almost painful acidity that comes through the spirit. This is an old wine, no question, but not too old, one to be savored in sips with all the flavors working at high intensity. ",Sandeman NV 40-years Old Tawny  (Port),93,125,Port,Port
14.1%,Red,US,"Smells and tastes like inexpensive Port, with caramelized wood, baked cherry and sugared black currant jam notes. ",Rezonja 2005 Cabernet Sauvignon (Alexander Valley),80,30,California,Cabernet Sauvignon
19.5%,Port/Sherry,Portugal,"With its rosé color and its lightness, this is a new style of Port. It's sweet, lightly fruity, very soft, with few tannins to give texture. For lovers of sweet aperitifs, this would work well. Drink chilled, or use in cocktails. ",Croft NV Pink  (Port),83,20,Port,Port
19.5%,Port/Sherry,Portugal,"Concentrated and dry, this shows good blackberry fruits to go along with the firm, dark tannins and ripe, juicy flavors. The fruit is rich, but not overtly sweet, more juiciness and acidity to go with the balancing spirit. ",Osborne 2001 Late Bottled Vintage  (Port),87,19,Port,Port
20%,Port/Sherry,Portugal,"This looks and tastes young for its age, sweet and caramel in flavor, the wood element missing. It's almost syrupy in its texture, a full-bodied style, with fresh black fruits still there. ",Rozes NV 20 Years Old Tawny  (Port),87,50,Port,Port
N/A,Port/Sherry,Portugal,"It has a medicinal character along with flavors of syrup and wood. It is concentrated, almost too concentrated, very intense, to be drunk by the drop rather than the glass. ",Kopke NV Very Old White Dry  (Port),87,135,Port,Port
20%,Port/Sherry,Portugal,"Keeping some freshness, but showing signs of dryness, this is a well-aged 10-year old, the wood acidity and spirit dominating the fruit. The aftertaste shows considerable age—more than 10 years. ",Rozes NV 10 Years Old Tawny  (Port),87,35,Port,Port
20%,Port/Sherry,Portugal,"Relatively dry, this has some firm tannins, darkened by plum skin flavors and ripe berries, lifted with acidity. The spirit element comes through as pepper and spice, giving an edge to the soft fruit. ",Sandeman NV Founders Reserve  (Port),87,16,Port,Port
19%,Port/Sherry,Portugal,"With its dark gold color and sweet, nutty aromas, this is on the rich side of the Madeira taste spectrum. It has attractive fruitiness and aged citrus acidity that go together, leaving a wine that is both sweet but also fresh. ",Broadbent NV Reserve 5 Years Old Madeira (Madeira),88,5,Madeira,Madeira Blend
N/A,Port/Sherry,Portugal,"This sweetest of white Port categories delivers a ripe, rounded, opulent wine that  shows delicious fruit. It is very rich rather than over-sweet, although there is a definite toffee character. ",Quinta do Portal NV Lagrima White  (Port),88,16,Port,Port
20%,Port/Sherry,Portugal,"Strong perfumed fruit aromas set the scene for a lavender-scented wine, with rich texture and dark tannins. It is relatively dry, the fruit character more of plum skins than of juice. Very stylish. ",Poças NV Special Reserve Ruby  (Port),89,18,Port,Port
20%,Port/Sherry,Portugal,"With its proper tawny red color, this is an attractively balanced 10-year old, with plenty of fresh fruits as well as wood and almonds. It's delicate, fruity and tastes even better lightly chilled. ",Poças NV 10 Years Old Tawny  (Port),89,28,Port,Port
20%,Port/Sherry,Portugal,"Sweet almonds and marzipan flavors go with some fresh acidity, soft raspberry jam fruits and a layer of mature sultanas. The overall effect is of a fresh wine, as well as dried fruits. ",Osborne NV 20 Years Old Tawny  (Port),89,53,Port,Port
N/A,Port/Sherry,Portugal,"This shows considerable maturity, with a honeyed character that gives the wood aging some sweetness. It's ripe and full-bodied, touched with old wood, and finishing with mature acidity. ",Quinta Santa Eufemia NV 20 Anos White  (Port),89,20,Port,Port
19.5%,Port/Sherry,Portugal,"Blackberry jam aromas, fresh, ripe jammy fruits, backed with sweet jelly and only lightly touched by spirit. A sweet, soft style, very easy. ",Sandeman NV Ruby  (Port),84,11,Port,Port
20%,Port/Sherry,Portugal,"This is a ruby reserve, bright red/black in color, with youthful fruity freshness. There are black fruits, with an edge of stalkiness, but ripely sweet at the same time. The aftertaste reveals good balancing acidity. ",Rozes NV Reserve  (Port),84,19,Port,Port
19.5%,Port/Sherry,Portugal,"Light, fresh, with some caramel and dried fruit flavors. This is a lightweight tawny, going more for freshness, with touches of raisins to finish. ",Sandeman NV Tawny  (Port),84,12,Port,Port
15%,Dessert,Cyprus,"This blend of Mavro and Xinisteri is made in-style that dates back to the Crusades and will appeal to fans of tawny Port. The nose, thick with spicebox and orange peel aromas, is followed by viscous but spicy flavors of caramel, orange and honey on the palate. Balanced but robust, it's a dessert wine with a masculine edge. ",Loel NV Red (Commandaria),85,13,Commandaria,Red Blends
15%,Dessert,Greece,"This unique red dessert wine from Patras starts with aromas of clean red fruit and spicy, nutty vanilla. Rustic and spicy on the palate with a spin of sweet vanilla and herbs, the wine is not exactly complex, but is intriguing. Fans of Port should give it a try. ",Achaia Clauss NV Imperial  (Mavrodaphne of Patras),85,11,Mavrodaphne of Patras,Mavrodaphne
N/A,Port/Sherry,Portugal,"With aromas of white currants and white figs, this Port has a strong, almond flavor with an edge of bitterness. There is considerable acidity, but the nuts tell the tale. ",Quinta do Portal NV Extra Dry White  (Port),85,16,Port,Port
N/A,Red,US,"The blend is 69% Syrah, 25% Cabernet Sauvignon and 6% Merlot; so dark it's almost syrupy. Aromas are lifted and suggest Asian spice box, chocolate and balsamic vinegar; the fruit is approaching a Port-like character, with raisins and prunes. Despite the apparent ripeness of the fruit, there is no excessive alcohol, and the finish is smooth. ",Maison Bleue 2005 La Montagnette Red (Columbia Valley (WA)),86,28,Washington,Red Blends
20%,Port/Sherry,Portugal,"While it does have some proper nutty characteristics, this is very much in the fresh, fruity style of 10-year old tawny. The currant flavors are light, with only hints of spirit and with some dark plum fruits. ",Osborne NV 10 Years Old Tawny  (Port),86,32,Port,Port
N/A,Port/Sherry,Portugal,"A medium-sweet, cinnamon-flavored wine, with some yeast, spice and fresh white fruit flavors. An attractive, simple wine to be drunk by itself. ",Quinta do Portal NV Fine White  (Port),86,15,Port,Port
20%,Port/Sherry,Portugal,"Smooth-textured Port, with sweet red fruits under the brown sugar, nut and spirit flavors. This is certainly on the sweet side, with a velvet feel to it. ",Poças NV Special Reserve Tawny  (Port),86,18,Port,Port
N/A,Port/Sherry,Portugal,"This tastes much younger than 10 years, showing freshness, with white fruit flavors. It's unbalanced, with the spirit showing rather than any maturity. ",Quinta Santa Eufemia NV 10 Anos White  (Port),86,10,Port,Port
15.5%,Red,US,"This is the personal project of Robert Mondavi's longtime winemaker, Genevieve Janssens, and her husband, Luc. Production is only 250 cases. The blend is of the two Cabs, Sauvignon and Franc. The quality of the tannins is perfect, and so is the effortless way the wine has absorbed 100% new French oak without the wood sticking out. My only criticism, and it's a big one, is excessive ripeness that makes it Port-like. The alcohol is 15.5%. ",Portfolio 2005 Limited Edition Red (Napa Valley),87,125,California,Bordeaux-style Red Blend
13%,White,France,"A rounded, very soft Chardonnay from Chablis producer Simmonet-Febvre. There are green fruits, with hints of pears and light acidity. The edge of green tannin gives the wine some shape, but it is essentially soft. Screwcap. ",Simonnet-Febvre 2006 Chardonnay (Vin de Pays des Portes de Méditerranée),84,10,France Other,Chardonnay
13%,Red,France,"Fine, fresh strawberry jam fruit and clear acidity are found on this wine made by Chablis producer Simmonet-Febvre, now owned by Louis Latour, which means they knowing something about Pinot Noir. This is simple, fruity, with the red berry fruits dominant. Screwcap. ",Simonnet-Febvre 2005 Pinot Noir (Vin de Pays des Portes de Méditerranée),84,10,France Other,Pinot Noir
13%,Red,Portugal,"Rich and soft, with easy spice and fruitcake flavors, this is a very approachable wine. It has some acidity to give an edge, the red berry fruits showing through the light tannins, leaving a fresh, dry aftertaste. This wine was formerly sold under the Cockburn Port brand. ",Symington Family Estates 2006 Tuella Red (Douro),87,13,Douro,Portuguese Red
N/A,Red,Portugal,"At first taste, this could be a dry Port. Its texture and richness are definitely in the big, opulent end of the spectrum. It's heady stuff, the black plums fruits almost sweet with flavors of jelly and raisins. Maybe too bold, but certainly a strong statement. ",Quinta da Pacheca 2005 Vinha do Mourão Red (Douro),90,40,Douro,Portuguese Red
17.5%,Dessert,US,"Doesn't say so on the front label, but the fine print indicates the grape variety is Syrah, although you couldn't guess that from the flavors. What it does taste like is lush, easy-drinking Port. Sweet and smooth, it has vast flavors of blackberry jam, cassis, cherries, raspberry pie, oranges, chocolate truffle, cloves and vanilla. So delicious, it makes you want to drink the entire bottle. ",Cana 2003 J. Jaden Dessert Wine Syrah (Contra Costa County),92,40,California,Syrah
18%,Port/Sherry,Portugal,This remains a classic. The balance between ripe toffee and sweet caramel flavors and the intensity of its acidity is a wonderful source of tension and delight. The wine has intriguing flavors of lavender as well as a dark edge of tannin from wood aging. ,José Maria da Fonseca NV 20 years old Moscatel Roxo Moscatel (Setubal),93,90,Setubal,Moscatel
14%,Red,Portugal,"The latest vintage of the joint venture between Bruno Prats, formerly of Cos d'Estournel in Bordeaux, and the Symington family in the Douro is a rich, opulent wine, packed with intense, concentrated, sweet black fruits. Made in a Bordeaux style, it still manages to capture the heat and mineral character of great Douro wines. ",Prats & Symington LDA 2006 Chryseia Red (Douro),93,60,Douro,Portuguese Red
N/A,Dessert,US,"Though no longer allowed to label itself Port, this remains one of the country's best Port-style dessert wines, a selection of the winery's best lots of late-ripened Zinfandel, Touriga, Petite Sirah, Cabernet Sauvignon and Souzao. At 20% alcohol and 10% residual sugar, it has the concentration and raw power of the real McCoy, and is absolutely packed with a sweet array of baking spices, clove and still more exotic east Indian flavors, along with citrus, orange peel and pungent blossoms. A real tour de force. ",Thurston Wolfe 2004 JTW Reserve Premium Dessert Wine Red (Washington),94,20,Washington,Red Blends
18%,Port/Sherry,Portugal,"Why is Moscatel from Setúbal so unknown? This is as impressive as Port or Madeira, a golden glow of sweetness balanced by a burnt, maderized character. Acidity arches over the whole wine, a blend of wood-aged wines with a minimum age of 20 years. Fabulous – try it. ",José Maria da Fonseca NV 20 years old Alambre Moscatel (Setubal),94,60,Setubal,Moscatel
14.5%,Red,US,"Dry and harsh, with lots of acidity and some raisiny flavors that approach Port. Not ageworthy. A Cabernet-based blend made from all five Bordeaux varieties. ",Jacuzzi 2005 Valeriano Red (Carneros),82,40,California,Bordeaux-style Red Blend
14.9%,Red,US,"Dry, tannic and a little harsh and bitter in berry skin astringency, with a deep core of black currant fruit veering into raisins and Port. Drink this robust wine with grilled meats, but it's not likely to age well. ",Fernwood 2004 Estate Cabernet Sauvignon (Santa Cruz Mountains),84,40,California,Cabernet Sauvignon
