,wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety,year
1159,14.9,Red,US,"Smells caramelly and Port-like, with raisiny fruit backed by drying tannins. ",Dashe Cellars 2003 Louvau Vineyard Old Vines Zinfandel (Dry Creek Valley),80,28,California,Zinfandel, 2003
1160,14.5,Red,US,"Alone of all Santino's wonderful '03 Zins, this is one I can't recommend because it's raisiny. Opens with that telltale baked fruit and caramelized brown sugar aroma of Port, then turns dry and fiercely tannic, with little possibility of improvement. ",Santino 2003 Zinfandel (Fiddletown),82,19,California,Zinfandel, 2003
1161,13.5,Red,US,"Smells sharp and hot, like Port, indicating high alcohol, although the official reading is only 13.5%. You'll find some ripe blackberry and cherry flavors, and the wine is thoroughly dry. ",Turner Road 2004 Cabernet Sauvignon (Paso Robles),83,11,California,Cabernet Sauvignon, 2004
1162,14.8,Red,US,"Overripe, with a raisiny edge and some sharp Port and coffee acidity to the blackberry flavors. Malolactic probably helped, as does new French oak, but it's still a sharp, disappointing wine. ",Swanson 2003 Merlot (Oakville),83,32,California,Merlot, 2003
1163,13.9,Red,US,"Opens with the baked brown sugar, caramelly aroma of a Port-style wine, and tastes almost as sweet. This is actually a delicious wine, with good tannins and acids to balance the sugar, but it's not really a dry table wine. ",Lolonis 2002 Heritage Vineyards Petros Merlot (Redwood Valley),85,40,California,Merlot, 2002
1165,12.5,Port/Sherry,US,"The vintage was a cool one, and the wine shows an acidic, fairly lean profile that is sleekly elegant. It has subtle freshly baked bread and citrus flavors, with an edge of creamy kiwi and lime. The dosage gives it a honeyed, but dry, finish. ",Iron Horse 1998 Blanc de Blancs Sparkling (Green Valley),90,34,California,Sparkling Blend, 1998
1166,16.5,Red,US,"I like this wine less than the ‘03, which I criticized for flirting with Portiness. This wine outright marries Port. It has a good deal of residual sugar and is as rich and sweet as a chocolate truffle. That's a good flavor, but at 16.5 percent alcohol, it's not a dry table wine. ",Rosenblum 2004 Planchon Vineyard Zinfandel (San Francisco Bay),84,25,California,Zinfandel, 2004
1167,19.0,Dessert,US,"Made from traditional Port varieties, the wine starts with classic Port aromas of cassis, chocolate and caramel. In the mouth, it doesn't disappoint in sweetness,  but turns simple in straightforward fruit pie flavors. ",Renwood 2003 Vintage Port Port (Sierra Foothills),84,15,California,Port, 2003
1168,16.7,Red,US,"This tastes like the sweetest of Kent Rosenblum's new Zins, which is saying a lot, since they're all  as sweet as Port. But here, the sugar seems like it was dumped in by the barrel. It's a delicious wine, chockful of blackberry, cherry, raspberry, blueberry and chocolate flavors, but it really does call for new Federal guidelines on what is a table wine and what is a dessert wine. ",Rosenblum 2004 Cullinane Reserve Zinfandel (Sonoma Valley),86,45,California,Zinfandel, 2004
1169,14.7,Red,US,"There's an old fashioned quality to this Zin, good for washing down sausages, lamb, char-broiled beef, a savory roast chicken. There's some overripeness, in the raisins and chocolatey Port, but in this case, it's fine, just a quirky part of the wine's likeable personality. ",Passalacqua 2004 Gia Domella Zinfandel (Russian River Valley),86,24,California,Zinfandel, 2004
1170,19.0,Dessert,US,"This is the first Port in six years that Prager declared a vintage, so you know they think highly of it. It's pretty good, not great, but nicely sweet in blackberry and chocolate fudge flavors, with a good edge of acidity. ",Prager 2003 Royal Escort Paladini Vineyard Vintage Port (Napa Valley),86,80,California,Port, 2003
1171,,Port/Sherry,Portugal,"Dark garnet in color with some bricking apparent, this was “not a particularly good example,” according to Fladgate Partnership CEO Adrian Bridge. It was still enjoyable, but seemed to lack midpalate lushness, ending green and firm. ",Taylor Fladgate 1985 Vintage  (Port),87,165,Port,Port, 1985
1172,,Port/Sherry,Portugal,"A tough wine to confidently evaluate. This showed masses of dried fruit and maple syrup flavors, all of which seemed to dry up a bit on the finish to reveal spice, alcohol and a certain degree of austerity. It may just be in an awkward stage, as the components are fine, just a little disjointed. Hold? ",Taylor Fladgate 1963 Vintage  (Port),92,430,Port,Port, 1963
1173,,Port/Sherry,Portugal,"The most prominently floral wine in the vertical, but that delicacy is amply backed by plush chocolate and dried fruit flavors. The finish is deceptively soft and welcoming, but still shows great backbone and the ability to go many more years. ",Taylor Fladgate 1977 Vintage  (Port),95,260,Port,Port, 1977
1175,20.0,Port/Sherry,Portugal,"Even for a ruby, this is dark purple in color and attractively saturated in the glass. It's somewhat grapy, but avoids simplicity by blending in hints of mulberries, chocolate and spice. Full-bodied and slightly tannic, it shows good grip for a basic ruby, although a touch of heat does show through on the finish. Not available in the U.S. ",Porto Solene NV Ruby Special Reserve  (Port),88,40,Port,Port,
1176,20.0,Port/Sherry,Portugal,"A round, lushly fruited vintage Port, the 2000 Rozès boasts scents of toffee, chocolate and prune, then follows up with flavors of chocolate fudge and dark plum. Has enough structure to age another 10 years, just lacks a little length on the finish. Imported by Vranken America. ",Rozes 2000 Vintage  (Port),88,90,Port,Port, 2000
1177,13.5,Red,Portugal,"It's a second label, but the quality is still very good, with blackberry and black cherry fruit amped up by the addition of wood spice and vanilla. Tannins are supple, yet firm enough to give the bold fruit focus and structure on the finish. Drink now–2010. ",Prats & Symington LDA 2004 Post Scriptum de Chryseia Red (Douro),89,24,Douro,Portuguese Red, 2004
1178,20.0,Port/Sherry,Portugal,"A lovely single-quinta wine that can be drunk now and over the next 10-15 years, Ventozelo's 2000 is a supple, creamy-textured Port that features slightly briary herbal-floral accents to its dark berry flavors. Picks up some intriguing spice notes on the finish, so it's not just a fruit bomb. ",Quinta de Ventozelo 2000 Vintage  (Port),89,50,Port,Port, 2000
1179,20.0,Port/Sherry,Portugal,"Reasonably lush but not unstructured, Cálem's 2000 vintage Port is a solid effort. Eucalyptus, coffee and plum scents mark the nose, while the flavors are fruit-forward plum and blackberry, with a smidgen of dark chocolate. Long and textured on the finish. Drink now-2020. ",Cálem 2000 Vintage  (Port),89,80,Port,Port, 2000
1185,14.0,Red,Portugal,"As you might expect—but see all too rarely—this Douro table wine comes close in character to Port, with bold, blackberry fruit-filled aromas that verge on being overripe. It's got ample alcohol but not to excess, with a firm structure of acid and tannins to hold things in place. Long on the finish; give this 3–5 years to round out and develop some more nuances. ",Prats & Symington LDA 2003 Chryseia Red (Douro),92,66,Douro,Portuguese Red, 2003
1189,18.0,Dessert,US,"Very sweet but a bit thin on fruity flavor despite some chocolate and raspberry. This Port-style wine is a blend of Primitivo, Zinfandel and Syrah. ",Bourassa Vineyards NV Solera3 Port (Napa Valley),84,60,California,Port,
1190,13.7,Red,US,"More California wineries should tinker with this Port variety. This wine is fruitily complex, with a medium body, silky texture and oodles of spice. While it's rustic, it shows real promise. ",Fenestra 2003 Silvaspoons Vineyard Touriga Franca (Lodi),85,22,California,Touriga Franca, 2003
1191,19.1,Dessert,US,"Put enough sugar in anything and it tastes pretty good! So it is with this simple, fruity Port-style Zin. It's ripe in blackberry, chocolate and coffee flavors; overall it's very sweet. ",Sobon Estate 2003 Zinfandel Port Zinfandel (Amador County),86,15,California,Zinfandel, 2003
1192,,Port/Sherry,Portugal,"A superb wine, elegance and weight combined magisterially. It has all the right mature flavors, ripe fruit, intense marmalade and concentration. This is a wine with a great reputation, and the taste doesn't let that reputation down. Imported by Kobrand. ",Taylor Fladgate NV 40-year old tawny  (Port),95,154,Port,Port,
1197,19.0,Dessert,US,"Very sweet and high in acidity and tannins, this wine's forward black currant and chocolate flavors are easy to take, but the overall mouthfeel and structure are awkward. ",Shenandoah 2003 Vintage Port (Amador County),83,17,California,Port, 2003
1198,15.8,Red,US,"At 15.8% alcohol and observable sweetness, we really are talking Port here. It's a good wine, rich and clean and loaded with chocolate and cherry fruit, but is clearly not a dry table wine. ",Shenandoah 2003 ReZerve Primitivo (Shenandoah Valley (CA)),84,24,California,Primitivo, 2003
1199,18.0,Dessert,US,"If you can get past the hard, faux-wax plastic seal, you'll find a sweetish wine, with peaches and cream flavors, and a spicy, honeyed finish. ",VJB NV Baci di Famiglia Chardonnay Port Chardonnay (Sonoma Valley),84,28,California,Chardonnay,
1201,20.0,Port/Sherry,Portugal,"Smells attractive enough, offering up chocolate, blackberry and spice aromas, but seems a bit thin and lacking in texture on the palate, finishing with some unintegrated alcohol. Imported by Vineyard Brands. ",Warre's NV Warrior Special Reserve  (Port),82,16,Port,Port,
1202,20.0,Port/Sherry,Portugal,"Basic Port, slightly syrupy and sweet, with dried cherry and chocolate flavors and a plump, easygoing mouthfeel. Imported by Pernod Ricard. ",Cockburn's NV Special Reserve  (Port),83,16,Port,Port,
1203,13.0,Red,Portugal,"Altano, a table-wine project of the Symington family, famous for their various Port houses (among them, Dow's, Graham's and Warre's), takes a two-pronged approach to marketing. A pricier Reserva offers greater richness and texture along with hints of oak, but while the entry-level Altano lacks the rich texture and density, it offers good value. Cherries and sappy green herb notes combine in a lightweight, easy quaffer that folds in dark chocolate and black tea notes on the finish. ",Symington Family Estates 2003 Altano Tinta Roriz-Touriga Franca Red (Douro),84,7,Douro,Portuguese Red, 2003
1205,20.0,Port/Sherry,Portugal,"Starts off with hints of mint, baked berries and earth, then delivers slightly herbal, medicinal fruit and chocolate flavors. Feels lush in the mouth, with no rough edges. Imported by Dreyfus, Ashby & Co. ",Cálem NV Old Friends Fine Ruby  (Port),85,14,Port,Port,
1207,20.0,Port/Sherry,Portugal,"A solid value in ruby Port, Sandeman's bottling pairs dried fruits with leathery notes to offer more than simple, grapy fruit. Finishes with fresh, spicy notes. Imported by Pernod Ricard. ",Sandeman NV Ruby  (Port),86,12,Port,Port,
1208,13.0,Red,Portugal,"This medium-bodied blend of Touriga Nacional (45%), Touriga Franca (35%) and Tinta Roriz (20%) lacks a bit of flesh, but you wouldn't call it lean, either. Instead, it's sinewy in texture and feel, with masses of blackberry and mulberry fruit upfront and dusty, slightly drying notes on the finish. ",Quinta de Roriz 2002 Reserva Red (Douro),87,26,Douro,Portuguese Red, 2002
1210,,Port/Sherry,Portugal,"Another Symington family brand that often shows well, Smith Woodhouse's 10-Year Oldis big and firm, quite tannic even, and very rich and dry. This is a good, solid, powerful wine, with great finishing acidity. ",Smith Woodhouse NV 10-year old tawny  (Port),90,28,Port,Port,
1212,,Port/Sherry,Portugal,"From its vineyard in the hot Torto Valley, Ramos-Pinto has produced a rich, densely sweet, lightly burnt wine. It's deliciously attractive, very smooth and flavored with perfumed dried apricots. ",Ramos-Pinto NV Quinta Bom Retiro 20-year old tawny  (Port),91,75,Port,Port,
1213,,Port/Sherry,Portugal,"This is a great, fresh, young style of wine, with figs and bitter marmalade flavors. There's a touch of orange peel, a hint of vanilla and very ripe, delicious fruit. ",Taylor Fladgate NV 10-year old tawny  (Port),91,30,Port,Port,
1214,,Port/Sherry,Portugal,"This is a sweet, dense wine, balancing lively dried fruit flavors against intense coffee and treacle. It has great style, a powerful wine that manages to present a softer side. ",Fonseca NV 20-year old tawny  (Port),91,50,Port,Port,
1215,,Port/Sherry,Portugal,"This recent launch from Warre's is delicious. It's a fruity tawny, with delicious acidity and touches of bitter orange and chocolate. Classically balanced and fresh. ",Warre's NV Otima 10-year old tawny  (Port),91,25,Port,Port,
1216,,Port/Sherry,Portugal,"The legendary Noval has produced a deliciously attractive, light and poised wine, with fresh fruit and acidity. It is dry in style, with some tannins, and a layer of spirit that is well in balance. The aftertaste floats with acidity and fruit. ",Quinta do Noval NV 10-year old tawny  (Port),91,28,Port,Port,
1217,,Port/Sherry,Portugal,"This is an impressive wine, all power and concentration. Flavors of bitter chocolate and arabica coffee are balanced with citrusy freshness. It's relatively lively and vibrant, but there are also plenty of mature flavors. ",Barão de Vilar NV 20-year old tawny  (Port),92,42,Port,Port,
1218,,Port/Sherry,Portugal,"Although part of Barros, Kopke still operates relatively independently, and obviously can draw on good stocks of aged tawnys. This wine certainly tastes all of 20 years, with its richness and dryness finely in balance, and with lemon jelly and intense ripe fruits shining through. ",Kopke NV 20-year old tawny  (Port),92,56,Port,Port,
1219,,Port/Sherry,Portugal,"At first sip, this seems gentle and soft. But behind this smooth, glossy exterior, there are delicious flavors waiting to emerge. With caramel, oranges, acidity and a twist of treacle, this becomes a fine, balanced wine. ",Niepoort NV 20-year old tawny  (Port),92,40,Port,Port,
1220,,Port/Sherry,Portugal,"Powered with acidity and its firm structure, this is an intensely dry, concentrated, powerful wine. It certainly has wines in the blend that are older than 10 years, yet it is definitely a 10-Year Oldin style, as the fresh fruit to finish confirms. ",W. & J. Graham's NV 10-year old tawny  (Port),92,31,Port,Port,
1221,,Port/Sherry,Portugal,"This impressively concentrated wine has classic burnt caramel aromas, with dense, fig and bitter chocolate flavors. It is rich, delicious and tastes somewhat older than its 30-year label. ",Niepoort NV 30-year old tawny  (Port),92,174,Port,Port,
1222,,Port/Sherry,Portugal,"Another Port success from the Branco family of Quinta do Portal, following their success with the 2003 vintage. This is a lovely, lively wine, with fresh acidity alongside good, mature fruit. It is ripe but very elegant, with a sweet, dried fruit aftertaste. ",Quinta do Portal NV 20-year old tawny  (Port),92,52,Port,Port,
1223,,Port/Sherry,Portugal,"At first taste, this appears amazingly fresh for a 40-year-old, but then the older flavors kick in. There is concentration, ripeness and huge intensity of flavor. It's a beautiful wine, with dried apricots giving freshness. Imported by Pernod Ricard. ",Sandeman NV 40 Year Old Tawny  (Port),93,135,Port,Port,
1224,,Port/Sherry,Portugal,"As so often, Niepoort comes through with a fabulous wine. It is dry and structured, with mature flavors that suggest there are wines in the blend that are older than 10 years. There is a bitter chocolate character, intense bitter almonds and finishing freshness and acidity. The whole comes in a concentrated, intense package. ",Niepoort NV 10-year old tawny  (Port),93,44,Port,Port,
1225,,Port/Sherry,Portugal,"A dark, concentrated wine, very impressive. But with all this concentration, there is also sweet fruit, flavors of apricots that have been bottled in spirits. This is a lovely wine, with just a hint of mature, medicinal character. Imported by Premium Port Wines, Inc. ",Dow's NV 40-year old tawny  (Port),93,148,Port,Port,
1226,,Port/Sherry,Portugal,"Always one of the best 20-year-olds, and this is no exception. The secret is in the velvet-like smoothness, which combines with a balanced mix of fig and caramel flavors, just a touch of burnt vanilla and the sort of acidity that makes you want another glass. Delicious. ",Ferreira NV Duque de Bragança 20-year old tawny  (Port),94,70,Port,Port,
1227,,Port/Sherry,Portugal,"An old, mature wine, but one that has kept its ripeness and richness. The concentration is so intense that one glass is almost enough (except it tastes so good). There are walnuts, bitter chocolate and a delicious clean aftertaste. Imported by Premium Port Wines, Inc. ",W. & J. Graham's NV 40-year old tawny  (Port),94,152,Port,Port,
1228,,Port/Sherry,Portugal,"This is a sweet but deliciously mature wine that exudes the richness of its burnt orange flavors, layers of sweet toffee, and clean, hugely rich aftertaste. A great wine. Imported by William Grant & Sons, Inc. ",Quinta do Noval NV 40-year old tawny  (Port),94,125,Port,Port,
1229,,Port/Sherry,Portugal,"This wine comes from a wildly remote vineyard high in the Upper Douro. It is a fine, balanced wine, packed with acidity to balance the sweetness. It's relatively soft and gentle, with good, fresh flavors of figs. ",Ramos-Pinto NV Quinta Ervamoira 10-year old tawny  (Port),89,41,Port,Port,
1230,,Port/Sherry,Portugal,"This is dry, with burnt aromas. The palate is very concentrated, packed with bitter fruits and hints of lemon. A sipping Port, just ready for contemplation. ",Poças NV 30-year old tawny  (Port),89,60,Port,Port,
1231,,Port/Sherry,Portugal,"A big, sweet, soft wine, with lively fruit, some bitter coffee and sweet treacle flavors. This is an elegant, attractive wine. ",Churchill's NV 20-year old tawny  (Port),89,51,Port,Port,
1232,,Port/Sherry,Portugal,"Great ripe fruits dominate this young, fresh wine. There is balancing sweetness and delicate, lightly burnt acidity. Now under the same management as Taylor and Fonseca, Croft is a name that should be as well known for Port as for Sherry. ",Croft NV 10-year old tawny  (Port),89,30,Port,Port,
1233,,Port/Sherry,Portugal,"More in the elegant style, this Delaforce wine shows plenty of ripe flavors, but then restrains them. It is very pure, a delightful wine that is very drinkable. ",Delaforce NV 20-year old tawny  (Port),89,35,Port,Port,
1234,,Port/Sherry,Portugal,"Dry, with some burnt character, this 40-year old from one of the companies owned by Barros also has great sweet fruit, lime marmalade and layers of acidity. It's well in balance, leaving acidity to finish. Imported by Frontier Wine Imports. ",Feist NV 40-year old tawny  (Port),89,150,Port,Port,
1235,,Port/Sherry,Portugal,"A smooth, ripe, caramel- and toffee-flavored wine, with sweet fruit. Tastes young for a 20-year old, this still has good structure and is well integrated. ",Offley NV 20-year old tawny  (Port),89,48,Port,Port,
1236,,Port/Sherry,Portugal,"There is plenty going on in Noval's 20-year-old. It is a dry style, but the generous fruit combines marmalade and fresh citrus flavors, along with powerful ripeness. Acidity is there too, giving a lift at the end. ",Quinta do Noval NV 20-year old tawny  (Port),89,60,Port,Port,
1237,,Port/Sherry,Portugal,A fresh delicate wine. It has a fine array of orange flavors and a light touch of acidity and caramel. ,Dow's NV 20-year old tawny  (Port),89,50,Port,Port,
1238,,Port/Sherry,Portugal,"From property owned by the Kopke and Van Zeller families (Fernando van Zeller is Baron de Vilar), this classically attractive 10-year style has deep gold/brown color and is ripe and almost sweet (but with just enough dryness). It also has freshness, young fruit flavors and just a hint of an attractive, burnt character. To find a fine example of a 10-year-old, look no further. ",Barão de Vilar NV 10-year old tawny  (Port),90,26,Port,Port,
1239,,Port/Sherry,Portugal,"This is a hugely dry, burnt style, very concentrated. The licorice and bitter coffee flavors are dense, layered and well balanced with the acidity. A serious wine that demands attention. ",W. & J. Graham's NV 20-year old tawny  (Port),90,52,Port,Port,
1240,,Port/Sherry,Portugal,"Although this famous name has produced quite a light 20-year-old, that lightness is more than made up for by the beautiful, smooth flavors, the taste of lemon jelly, dried apricots and peaches, and fine, fresh acidity. ",Taylor Fladgate NV 20-year old tawny  (Port),90,53,Port,Port,
1241,,Port/Sherry,Portugal,"While it is quite dark in color, this wine still has plenty of good, 10-Year Oldfresh fruit flavors. Perfumed and delicate, it has light sweetness and a good layer of fruit and wood acidity, leaving a dry aftertaste. Its quality is an indication of the impressive improvements that have occurred at Royal Oporto in recent years. ",Royal Oporto NV 10-year old tawny  (Port),90,29,Port,Port,
1242,,Port/Sherry,Portugal,"Warre's seems to have found just the right formula for its tawnys. The 10-Year OldOtima is a fine wine, and so is this Otima 20. It has aromas of almonds, layers of acidity and sweetness, the flavor of bitter oranges, and a round, ripe aftertaste. ",Warre's NV Otima 20-year old tawny  (Port),90,42,Port,Port,
1243,,Port/Sherry,Portugal,"An attractively dry style of wine, with a concentrated inner core of firm acid and lightly burnt flavors. It has intensity, along with good fruitiness. This lesser brand of the Symington group is worth seeking out, both for its quality and for its good value. ",Gould Campbell NV 10-year old tawny  (Port),90,24,Port,Port,
1244,,Port/Sherry,Portugal,"A hugely rich, sweet wine, full of concentration and very ripe fruit flavors. This is the classic Fonseca style, all richness and depth of flavor. There's power here, but it is all clothed in acidity and great fruits. ",Fonseca NV 10-year old tawny  (Port),90,30,Port,Port,
1245,,Port/Sherry,Portugal,"This is a finely balanced, rich but elegant wine, from a company owned by Sogrape, Portugal's largest wine producer. There is some good burnt caramel flavor, as well as ripe fruit, and a delicious, just lightly fresh aftertaste. ",Offley NV 30 Year Old Tawny  (Port),90,108,Port,Port,
1246,,Port/Sherry,Portugal,"An impressively concentrated wine from this firm owned by Barros. There's a dark toffee flavor that runs parallel to fine acidity throughout. The aftertaste is fresh, but still full of concentration. ",Feist NV 30-year old tawny  (Port),90,98,Port,Port,
1247,,Port/Sherry,Portugal,"A dense, concentrated, but deliciously clean wine, with balanced fruit, marmalade flavor and a touch of spirit to finish. This is a wine that shows considerable character and style. ",Wiese & Krohn NV 20-year old tawny  (Port),90,50,Port,Port,
1248,12.5,White,Portugal,"The aromas are attractively fresh, while the palate is more towards full, fat fruits. So the green perfume gives way to melon and pear only just touched by citrus acidity. Treat this as a food wine, not an apèritif. This wine was formerly sold under the Cockburn Port brand. ",Symington Family Estates 2007 Tuella White (Douro),84,13,Douro,Portuguese White, 2007
1249,14.5,Red,US,"Dry, soft and quite tannic, this red blend has berry-cherry flavors that veer into overripe raisins and Port. Made from Petite Sirah, Syrah and Barbera. ",Heringer 2006 Purple Thread Library Reserve Red (Clarksburg),84,40,California,Red Blends, 2006
1251,,Port/Sherry,Portugal,"Great depth of flavor with fruit and a layer of mature almond nuttiness. The wine shows some wood, but also dried figs, prunes and some mature acidity. Not quite dry, but edging in that direction. ",Rozes NV White Reserva  (Port),89,20,Port,Port,
1252,14.2,Red,US,"Sweet and candied, with pie-filling cherry and blackberry flavors. Tastes almost like a dessert wine or inexpensive Port. ",Truchard 2005 Merlot (Carneros),84,28,California,Merlot, 2005
1253,20.0,Port/Sherry,Portugal,"A 10-year-old that tastes older than its indicated age. There is a strong wood-aged feel to it, the toast and vanilla from wood coming through well. It is also on the dry side, giving it spice rather than molasses. The finish is dense, concentrated. ",Gilberts NV 10-Year-Old Tawny  (Port),89,10,Port,Port,
1254,19.5,Port/Sherry,Portugal,"With its age, this has developed complexity and subtlety, very much a hallmark of the elegant Ramos-Pinto style. The wood flavors are evident, not quite dominant, leaving room for bitter orange and spice along with acidity that could come either from the aging or the fruit. The finish is properly long, fading gracefully. ",Ramos-Pinto NV Porto 30 Years  (Port),92,109,Port,Port,
1255,16.0,Red,US,"Tastes sweet and hot, like an inexpensive Port, with sugary cherry-berry jam flavors. The official alcohol is 16%. ",Mazzocco 2006 Warm Springs Ranch Zinfandel (Dry Creek Valley),82,32,California,Zinfandel, 2006
1256,15.0,Port/Sherry,Spain,"Perfectly good manzanilla for casual sipping. The nose is light, pure and offers echoes of pear and blanched almonds. Dry and elegant, with apple, salt and minerally flavors, the palate is complete and mouthfilling. Finishes with length. ",Pedro Romero NV Extra Dry Manzanilla Sherry (Jerez),88,13,Andalucia,Sherry,
1257,16.7,Red,US,"As sweet as Port, with chocolate and prune flavors. Feels as hot as a chile pepper, with nearly 17% alcohol. ",Mazzocco 2006 Reserve West Dry Creek Zinfandel (Dry Creek Valley),81,50,California,Zinfandel, 2006
1258,14.5,Red,Portugal,"With Port-like aromas, this is a concentrated wine that revels in spicy wood as well as sweet black plum and black fig flavors. The wine is dry, but it really wants to be sweet, the tannins soft and easy. The Porty character persists, suggesting very ripe fruit. ",Churchill's 2007 Churchill Estates Reserva Red (Douro),87,28,Douro,Portuguese Red, 2007
1259,,Port/Sherry,Portugal,"Firm and balanced, this spicy wine also shows layers of black currant and dark tannins. Its general character is firm and dry, the tannins giving a dominant structure, promising aging. ",Churchill's 2007 Quinta da Gricha Vintage  (Port),89,75,Port,Port, 2007
1260,20.0,Port/Sherry,Spain,"Attractive caramel, apricot and peach aromas drive straight to a pure, creamy palate of cinnamon apple, mocha, coffee and chocolate. It's quite smooth and balanced, and very long on the finish. Avoids all the pitfalls of sweet Sherry by maintaining its balance and mouthfeel. ",Lustau NV DeLuxe Cream Capataz Andrés Sherry (Jerez),91,20,Andalucia,Sherry,
1261,,Port/Sherry,Portugal,"From a parcel of old vines around the quinta chapel, this is a stunning wine. It has all the opulence we expect from Vesuvio, along with a density that is rare in this vintage. The tannins are there, but are equalled by the toffee, ripe fruit, figs, sweet chocolate. The whole wine is lightened by acidity, but will obviously age. ",Quinta do Vesuvio 2007 Capela Vintage  (Port),95,125,Port,Port, 2007
1262,,Port/Sherry,Portugal,"Big and ripe, the tannins well behind the rich fruit character. It is full in the mouth, offering bright spice, acidity as well as blackberry juice flavors. There is a stalky, drier edge to the finish. ",Vista Alegre 2003 Late Bottled Vintage  (Port),88,15,Port,Port, 2003
1263,,Port/Sherry,Portugal,"Very fruity, with plenty of acidity, the black currant and sweet plums fitting well together. The wine has some firm tannins as well, but the character is more fruity and soft. ",Sandeman 2004 Late Bottled Vintage  (Port),88,32,Port,Port, 2004
1264,,Port/Sherry,Portugal,"A great caramel and dried raisin character, the wine showing figs and spice, touched by the spirit but not more. The end has dryness, a firm finish. ",Poças NV Special Reserve Tawny  (Port),88,19,Port,Port,
1265,,Port/Sherry,Portugal,"A very dry wine, perfumed with violets and geranium aromas. The wine is firm, dark and dense, but that perfume is off-putting. The tannins though are impressive, solid and powerful. ",Quinta de Ventozelo 2003 Late Bottled Vintage  (Port),88,25,Port,Port, 2003
1266,,Port/Sherry,Portugal,"A spicy wine, the flavors layered with vanilla, giving it a smooth character, rich with sweet jelly flavors. There is a good core of tannin to balance. ",Kopke 2005 Late Bottled Vintage  (Port),88,24,Port,Port, 2005
1267,,Port/Sherry,Portugal,"Big, bold fruity wine, with plenty of black berry and sweet jam flavors. The wine has some tight tannins, but the velvet fruits are prominent, giving both density and directness. ",Offley 2005 Late Bottled Vintage  (Port),88,24,Port,Port, 2005
1268,,Port/Sherry,Portugal,"Sweet and deliciously ripe, the wine has floral perfumes, a soft character, even though the tannins are all there. A stalky final taste shows how young it is. It needs another year. ",Quinta do Portal 2005 Late Bottled Vintage  (Port),88,25,Port,Port, 2005
1269,,Port/Sherry,Portugal,"An austere wine with a stalky character, showing firm tannins and a strong mineral character of Douro schist. It is like a sweet table wine, spiced and structured, needing to age. ",Ramos-Pinto 2005 Late Bottled Vintage  (Port),89,26,Port,Port, 2005
1270,,Port/Sherry,Portugal,"A ripe wine, touched with caramel, plenty of spice and acidity as well as a tight, tannic edge. The start is sweet, but the wine soon veers drier, leaving acidity as well as the firmest tannins. ",Royal Oporto 2004 Late Bottled Vintage  (Port),89,15,Port,Port, 2004
1271,,Port/Sherry,Portugal,"This is drier than some 10-year-old Tawnys, showing a taste of wood, with acidity and the fig and raisin flavors behind the mature flavors. This is all suggests that much of the wine in the blend is older than 10 years, giving extra richness and depth of flavor. ",Poças NV 10-years old Tawny  (Port),89,30,Port,Port,
1272,,Port/Sherry,Portugal,"A rich, extravagantly spicy wine, the fruit showing sweet raisins and dried figs. The tannins are soft and generous, with good ripe fruit. This is an open, soft wine. ",Quinta do Crasto 2005 Late Bottled Vintage  (Port),89,26,Port,Port, 2005
1273,,Port/Sherry,Portugal,"Dark in color, the wine has very rich fruit flavors spiced with cinnamon, tasting like Christmas coffee, the tannins firm, with a dry structure. Black plum skins dominate. ",Burmester 2005 Late Bottled Vintage  (Port),89,55,Port,Port, 2005
1274,,Port/Sherry,Portugal,"A ripe, fresh fruity wine, with richness from black plums, but also plenty of bright acidity. The wine is soft, the tannins hiding behind the rich fruit. ",Barão de Vilar 2003 Late Bottled Vintage  (Port),89,19,Port,Port, 2003
1275,,Port/Sherry,Portugal,"A firm, dry tannic wine, with a good dense structure. The fruit shows its edgy side, with fruit skins and fruit tannins. This has some aging potential—perhaps 4–5 years. ",Ferreira 2005 Late Bottled Vintage  (Port),89,25,Port,Port, 2005
1276,,Port/Sherry,Portugal,"A full-bodied wine, showing the richness and super-ripe grapes of 2003. It is soft, with dusty tannins showing through the ripe damsons and almost jammy character. It's all well in balance. ",Poças 2003 Late Bottled Vintage  (Port),90,26,Port,Port, 2003
1277,,Port/Sherry,Portugal,"Quite light, with acidity, fresh blackberry fruits and rather bitter tannins. There is an edge of final juiciness, but overall this seems rather harsh. ",Ferreira 2000 Late Bottled Vintage  (Port),86,25,Port,Port, 2000
1278,,Port/Sherry,Portugal,"The wine has little sign of age, but still misses out on weight and definition. It has a soft toffee and sweet character, with soft tannins and a final raisin taste. ",Smith Woodhouse 1995 Late Bottled Vintage  (Port),86,39,Port,Port, 1995
1279,19.5,Port/Sherry,Portugal,"The wine is soft, ripe, with a touch of maturity followed by good, tight wood tannins. The wine has a ripe character, quite full with hints of the wood aging as well as mature fruit. ",Poças NV Tawny  (Port),86,12,Port,Port,
1280,,Port/Sherry,Portugal,"An elegant wine, its acidity showing through balanced black berry fruits. The wine has good spice along with a dry core of light tannins. ",C. da Silva 2004 Presidential Late Bottled Vintage  (Port),87,23,Port,Port, 2004
1281,,Port/Sherry,Portugal,"Showing freshness as well as sweet jelly fruit, this has a young feel to it. An edge of bitter chocolate and spice is layered over tannins that are not yet integrated. ",Ramos-Pinto 2004 Late Bottled Vintage  (Port),87,26,Port,Port, 2004
